Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Energy Consumption,CO2 Emissions,Renewable Energy Jobs,Renewable Energy Targets,Electricity Prices,Proportion of Energy from Renewables
Australia,2009,Solar,25606.7,19959.08,2320138533.9,210798.72,380598.38,394329,0,0.45,86.57
Australia,2009,Wind,56320.76,30999.31,6159278134.84,72479.84,931131.75,96966,0,0.21,73.25
Australia,2010,Biomass,95524.34,253.69,7898424967.35,68187.67,649566.59,161310,1,0.28,55.01
Australia,2010,Geothermal,24073.33,14344.91,3067672684.47,662236.1,531921.64,98158,0,0.41,45.49
Australia,2010,Hydro,24298.48,31724.8,8416746927.58,840514.22,975798.55,237640,1,0.45,70.88
Australia,2010,Hydro,50710.54,12721.36,6990764754.95,54628.1,742374.93,377144,0,0.18,30.01
Australia,2010,Solar,8858.04,26949.85,1698919612.85,172751.42,926479.79,789379,1,0.35,44.18
Australia,2010,Wind,56645.95,3276.12,1381557828.46,73823.5,441604.17,485637,0,0.47,81.12
Australia,2010,Wind,32368.27,46429.13,1264753930.28,238996.1,28747.43,848717,1,0.48,77.63
Australia,2010,Wind,62927.48,24657.42,6521124857.23,563714.08,451757.89,189575,0,0.38,61.2
Australia,2010,Wind,93905.69,46677.4,1537473885.69,880021.75,353619.55,987493,0,0.32,46.99
Australia,2011,Geothermal,65206.66,4157.55,7516378444.33,630383.21,974526.59,873178,1,0.08,43.32
Australia,2011,Geothermal,80366.4,47416.36,3486357745.66,45929.43,478151.17,114414,0,0.3,78.5
Australia,2011,Geothermal,76030.23,24050.63,1138482228.9,77788.93,80311.4,426913,0,0.45,65.99
Australia,2011,Geothermal,34354.9,42898.68,5520610664.7,189039.06,320637.85,473467,1,0.21,82.03
Australia,2011,Geothermal,73075.97,37413.69,7280416548.7,532387.19,424775.81,917214,1,0.11,66.43
Australia,2011,Hydro,73276.9,4324.06,1638287453.53,972971.5,867504.01,312699,0,0.07,13.26
Australia,2011,Hydro,40907.85,1776.0,458414532.4,884475.43,370249.52,662068,1,0.14,8.65
Australia,2011,Hydro,60804.97,15249.95,3407586690.0,231533.31,288711.01,711151,1,0.05,45.57
Australia,2011,Hydro,59120.66,10496.43,7082683340.78,746346.33,138191.76,764615,1,0.4,32.4
Australia,2011,Solar,8250.4,36886.65,9153566535.69,92252.86,375328.51,817423,0,0.11,0.56
Australia,2011,Solar,48036.84,15969.16,4134075102.89,174972.77,96100.28,205777,1,0.31,12.24
Australia,2011,Solar,83460.62,31003.99,3129401155.39,498557.72,652411.93,798692,0,0.47,79.89
Australia,2011,Solar,70705.25,21791.97,425601447.33,645946.98,569571.73,181553,1,0.45,42.89
Australia,2011,Wind,69389.98,44843.46,1665280086.68,510998.3,741601.9,896222,0,0.23,19.67
Australia,2011,Wind,39191.52,19564.94,7739032783.77,598310.91,374535.72,636166,0,0.15,36.43
Australia,2011,Wind,66309.78,24848.72,8665725401.97,649394.51,64643.1,986333,1,0.25,3.4
Australia,2011,Wind,70539.83,7540.05,9734031095.27,122774.7,227209.65,703993,1,0.34,15.09
Australia,2012,Biomass,81789.65,10098.55,7747449970.26,937513.49,948343.71,21173,0,0.49,12.14
Australia,2012,Geothermal,40707.46,39746.35,4490880772.17,571408.93,765061.09,870560,0,0.49,73.74
Australia,2012,Geothermal,43673.63,29774.7,567720863.53,956157.52,883473.3,650021,1,0.4,88.57
Australia,2012,Geothermal,90031.22,20910.51,1823410586.29,644430.24,786401.15,828687,1,0.21,19.64
Australia,2012,Solar,19019.71,3035.54,2624064979.39,745300.64,126052.29,839750,0,0.11,51.2
Australia,2012,Solar,26508.09,295.1,9925910192.03,87253.4,550161.05,119930,0,0.44,34.04
Australia,2012,Wind,45640.27,2335.81,7294232700.25,73742.29,356457.53,116737,0,0.46,22.86
Australia,2012,Wind,24572.56,30152.15,4257694831.56,349833.29,313955.34,116423,1,0.23,36.28
Australia,2013,Biomass,65533.6,29206.63,6223464899.05,152753.99,25332.08,38232,0,0.21,24.71
Australia,2013,Biomass,33035.92,43668.79,2800013435.02,943834.0,641949.88,216553,1,0.11,67.0
Australia,2013,Geothermal,29950.96,25157.26,8638699395.12,947575.68,429640.85,134331,1,0.18,54.38
Australia,2013,Hydro,53614.16,22871.97,2524816958.73,321641.69,756546.85,167567,0,0.42,59.81
Australia,2013,Solar,15084.27,43860.43,8315987414.09,719563.19,361698.97,514968,0,0.48,77.07
Australia,2013,Solar,23229.54,20768.28,8942912383.57,136064.05,168396.35,909492,0,0.2,61.36
Australia,2013,Solar,2862.66,49079.82,5298298438.82,664023.57,637804.28,822701,1,0.1,67.38
Australia,2013,Solar,41873.27,15923.8,3981984488.3,849698.34,817150.2,668301,1,0.4,84.31
Australia,2013,Wind,57510.1,46103.56,8090497222.18,686454.83,329577.52,24681,1,0.26,28.85
Australia,2013,Wind,97568.79,49295.39,6563240343.55,315654.2,471751.32,239923,1,0.37,6.89
Australia,2013,Wind,38747.07,15916.37,8939517786.58,77804.17,624804.91,103273,0,0.23,60.99
Australia,2014,Biomass,71070.18,21007.74,5919068434.23,62570.94,712974.64,510179,0,0.31,69.03
Australia,2014,Biomass,28189.7,48632.87,9832844398.16,271157.11,876924.76,547411,0,0.24,26.25
Australia,2014,Geothermal,80403.74,38251.14,2838086069.67,703490.14,299402.8,717598,0,0.28,69.87
Australia,2014,Geothermal,60738.47,27191.87,162103188.43,800138.67,560745.91,978147,1,0.1,88.05
Australia,2014,Geothermal,51271.55,18927.67,448458828.76,688401.79,3851.73,236699,1,0.13,90.46
Australia,2014,Hydro,11187.97,34968.16,1187775824.01,347820.33,754759.87,690794,1,0.42,94.99
Australia,2014,Hydro,12898.53,22802.14,1851645004.44,508144.06,597004.11,409161,0,0.44,67.2
Australia,2014,Solar,48700.98,12732.11,5889484299.55,186022.84,748948.15,77608,1,0.15,96.27
Australia,2014,Solar,76206.44,46159.43,6076505592.02,808446.98,151440.45,773876,0,0.49,78.07
Australia,2014,Solar,1389.69,4162.2,5909664608.02,50329.83,815503.72,110886,0,0.14,57.43
Australia,2014,Wind,40743.29,11055.63,8818253966.4,185881.65,767098.24,544298,0,0.06,68.86
Australia,2015,Biomass,75734.92,18252.54,2285038122.41,990849.36,984861.08,911579,1,0.07,1.83
Australia,2015,Biomass,15042.9,12148.93,9426153985.85,465093.51,627278.82,507812,1,0.17,71.53
Australia,2015,Biomass,30020.93,43196.4,1261608292.78,144516.75,868085.07,624980,1,0.24,93.32
Australia,2015,Geothermal,25269.2,35368.28,1399588080.1,740330.92,695636.7,368843,0,0.16,31.05
Australia,2015,Geothermal,69332.25,37699.56,366394565.41,628757.6,952096.05,376096,0,0.08,68.53
Australia,2015,Geothermal,6728.69,10094.37,5206489652.86,26691.56,719603.84,705866,0,0.2,26.97
Australia,2015,Hydro,89130.98,1410.19,3925354002.3,72325.55,845893.03,332601,0,0.13,98.24
Australia,2015,Hydro,30718.68,9506.24,8396414497.18,836155.14,738853.29,284055,1,0.19,34.63
Australia,2015,Solar,57524.9,19094.69,2979810349.9,995086.0,757429.62,813456,0,0.31,73.89
Australia,2015,Solar,85033.17,42555.23,6527130862.71,518666.66,935349.98,856094,0,0.05,74.34
Australia,2015,Solar,60764.17,42532.6,3858092760.8,340590.51,656115.55,246136,0,0.3,94.68
Australia,2015,Solar,36686.87,6675.53,9199815199.86,795014.3,733414.09,857159,0,0.22,62.94
Australia,2016,Biomass,69389.0,48934.2,9873145735.76,410579.3,928192.22,425355,1,0.45,63.0
Australia,2016,Biomass,58832.12,20646.28,2998789180.02,344152.78,660214.13,850520,1,0.34,87.42
Australia,2016,Biomass,3664.31,14076.03,9435661483.23,402930.48,485251.9,183893,0,0.35,56.27
Australia,2016,Biomass,5815.22,14805.69,5601201685.61,863299.09,174403.93,239166,0,0.16,90.18
Australia,2016,Geothermal,6755.56,29688.15,3273011504.77,422222.01,491653.14,978162,1,0.1,4.31
Australia,2016,Geothermal,22341.33,12648.4,3888844919.02,619026.2,96243.96,615460,0,0.39,64.07
Australia,2016,Hydro,87130.29,11164.11,7596562216.49,228425.62,244237.06,834817,0,0.39,87.7
Australia,2016,Hydro,85207.74,21285.12,8450689086.23,144607.65,278174.52,114184,1,0.38,22.09
Australia,2016,Hydro,61594.52,48167.82,9844826724.65,111826.69,392034.42,330324,1,0.41,15.68
Australia,2016,Solar,23401.02,33118.53,9509207589.37,898583.88,534443.36,479944,0,0.16,80.49
Australia,2016,Solar,13527.05,28020.53,1863720499.47,776339.01,205668.89,307009,0,0.07,89.4
Australia,2016,Wind,4471.17,15483.79,6552339493.42,436654.66,317419.61,249652,0,0.08,38.71
Australia,2017,Biomass,70456.99,40516.72,1909678634.29,129423.39,727158.32,999456,0,0.07,79.71
Australia,2017,Geothermal,1643.9,5007.68,6519987462.29,10188.1,514461.06,250347,0,0.06,88.57
Australia,2017,Geothermal,55443.53,38576.59,4482674197.81,777877.2,273397.83,297450,0,0.47,47.84
Australia,2017,Geothermal,14890.7,29498.09,5410836284.41,346695.82,948507.97,310014,0,0.18,76.98
Australia,2017,Geothermal,78480.74,25389.43,8405769781.21,218933.31,5247.23,976441,0,0.34,61.37
Australia,2017,Geothermal,78743.06,46010.16,522297633.38,122900.8,352037.73,924600,0,0.49,51.97
Australia,2017,Hydro,9454.19,28506.75,5602669394.11,741594.18,69134.26,692114,1,0.41,73.28
Australia,2018,Biomass,66840.33,35745.2,6709843634.81,425925.3,588106.23,879033,0,0.27,21.68
Australia,2018,Biomass,47913.77,32559.55,8964268393.68,401859.51,442266.93,121578,1,0.31,3.62
Australia,2018,Geothermal,42554.21,26656.29,8133366530.94,425120.07,766881.14,994832,0,0.39,72.65
Australia,2018,Geothermal,85016.68,42968.22,9264851813.34,499863.5,787566.51,53772,1,0.06,45.86
Australia,2018,Geothermal,43671.26,15541.76,9224431251.87,393251.4,254059.61,83247,0,0.35,64.77
Australia,2018,Hydro,47184.95,8674.81,2543032969.39,215150.41,439541.11,748049,1,0.48,48.06
Australia,2018,Hydro,14189.01,22826.88,8102407667.71,735457.02,542320.49,728040,1,0.35,74.25
Australia,2018,Hydro,3681.92,39896.8,1988339754.64,473636.44,188660.25,75454,1,0.12,30.1
Australia,2018,Solar,13348.85,739.49,3325289016.06,172939.17,532019.39,194908,0,0.38,87.38
Australia,2018,Wind,44617.09,40684.21,1782731442.61,952018.21,912594.14,985753,1,0.14,90.63
Australia,2019,Biomass,37528.66,47903.97,8092527772.58,370292.76,862599.43,974095,1,0.25,50.56
Australia,2019,Biomass,1862.57,19631.59,2688363372.82,407725.78,841888.43,93612,0,0.41,43.51
Australia,2019,Biomass,76797.47,42958.81,1631608816.39,81217.37,882493.08,503960,0,0.41,30.09
Australia,2019,Biomass,40230.8,7328.73,7324547436.05,35772.1,355589.52,124458,1,0.15,22.24
Australia,2019,Geothermal,69585.5,35043.82,4261572387.7,19442.21,401813.0,771078,1,0.25,29.21
Australia,2019,Hydro,58587.62,1709.84,4475583459.74,154071.14,528466.87,574356,0,0.12,16.64
Australia,2019,Hydro,16747.77,47716.23,6877185475.37,100784.84,702039.18,944115,0,0.27,25.66
Australia,2020,Biomass,64826.38,46372.8,413571722.79,130053.63,978615.5,742292,0,0.47,5.06
Australia,2020,Biomass,40442.64,40010.09,850468873.99,857949.14,908886.66,367533,1,0.39,83.43
Australia,2020,Biomass,14452.19,47219.15,5107292604.95,498159.87,667200.05,148493,1,0.5,13.08
Australia,2020,Biomass,95883.88,39275.5,5965527959.6,565613.07,738292.88,862837,1,0.45,10.1
Australia,2020,Geothermal,3093.39,2696.93,214464465.62,785428.67,473725.31,622463,0,0.16,97.0
Australia,2020,Hydro,3386.12,39711.9,3891812729.53,113964.36,131626.7,18034,0,0.43,49.69
Australia,2020,Hydro,65362.89,1447.62,6541967742.96,272686.05,821284.37,168847,1,0.45,13.68
Australia,2020,Hydro,49566.21,14734.92,7653254567.07,444859.87,401239.76,680475,1,0.18,53.03
Australia,2020,Hydro,94445.94,22767.26,9336505357.55,589447.28,327932.57,804710,1,0.12,85.67
Australia,2020,Solar,57717.43,23810.58,3966065012.85,336285.9,52648.26,518296,1,0.2,42.43
Australia,2020,Wind,86512.48,35970.05,9686082834.63,115806.41,401950.14,14733,0,0.19,86.37
Australia,2020,Wind,69802.37,49704.58,2021269077.94,282084.18,792178.91,703378,1,0.39,79.01
Australia,2020,Wind,35205.87,29966.39,1568387415.22,932155.45,568814.41,328788,0,0.33,38.9
Australia,2020,Wind,29796.18,42999.35,5123814858.65,147282.79,948737.21,255643,1,0.49,29.03
Australia,2020,Wind,64842.97,8474.58,1693257001.48,628460.27,889851.39,792485,1,0.18,98.54
Australia,2021,Biomass,53418.29,44644.33,1210280300.18,119135.91,327075.81,568404,1,0.49,10.94
Australia,2021,Biomass,36098.26,17118.65,8881364675.96,521836.02,650766.08,644658,1,0.43,25.42
Australia,2021,Geothermal,23348.04,48024.42,164313739.94,494266.97,422033.04,777569,1,0.12,27.91
Australia,2021,Geothermal,33894.13,40231.87,1850869429.42,821513.97,674989.6,514984,0,0.49,46.38
Australia,2021,Wind,11047.95,25212.34,9002128295.3,39259.09,648376.58,483046,1,0.44,49.82
Australia,2021,Wind,74291.93,3398.27,7473316465.92,20800.52,225635.09,741764,1,0.49,93.76
Australia,2022,Geothermal,11212.19,18440.65,4054269185.01,155059.09,587784.23,695589,1,0.44,20.82
Australia,2022,Geothermal,53290.47,44041.86,6692235992.99,277708.17,662492.25,758112,1,0.3,94.28
Australia,2022,Geothermal,79039.49,424.66,919814863.7,292245.98,373849.42,996590,1,0.33,69.66
Australia,2022,Hydro,57533.73,36678.03,8401335704.4,426697.42,506124.74,380977,1,0.1,14.28
Australia,2022,Hydro,8718.18,42759.41,2867627937.16,315977.63,634044.75,926727,1,0.26,47.28
Australia,2022,Hydro,49533.55,20949.94,2340720946.69,430017.81,706963.42,439616,0,0.49,45.67
Australia,2022,Solar,35157.96,24901.57,4121673813.46,837920.46,12127.38,121198,0,0.14,94.69
Australia,2023,Biomass,85410.08,23857.83,2167936457.83,24759.85,847735.28,854788,0,0.42,80.54
Australia,2023,Biomass,29220.24,34540.48,5790696717.29,217464.19,205486.87,549671,1,0.11,15.19
Australia,2023,Geothermal,30625.75,31181.48,8733782710.79,500615.64,303974.44,692344,0,0.16,76.26
Australia,2023,Hydro,39560.68,2023.23,3890745910.6,234680.95,509298.6,980158,1,0.21,38.09
Australia,2023,Hydro,47973.05,42703.88,128306528.88,662357.0,620538.22,374322,0,0.3,63.9
Australia,2023,Solar,23915.59,37023.91,7203528004.78,58688.94,95181.29,1641,0,0.06,80.47
Australia,2023,Solar,98842.34,30642.81,2020208839.17,886303.5,953725.38,627849,1,0.3,9.86
Australia,2023,Wind,20227.85,7728.21,702672886.83,735184.52,179152.49,886880,0,0.49,83.16
Australia,2023,Wind,92501.54,6302.24,4431028552.59,191364.83,647883.7,517649,0,0.45,71.01
Australia,2023,Wind,28351.9,42701.98,1777959771.66,701377.33,769847.25,323649,0,0.47,14.59
Brazil,2000,Geothermal,23865.89,7798.08,5074782284.99,175060.75,166137.27,932999,0,0.29,88.66
Brazil,2000,Geothermal,95698.03,20311.15,2291291261.34,600780.53,921443.84,940595,1,0.45,31.57
Brazil,2000,Hydro,52656.46,17809.25,2901947352.72,644569.48,526527.36,979299,0,0.14,86.96
Brazil,2000,Hydro,42664.09,25558.67,8940697480.37,979704.39,644001.0,610640,1,0.27,1.88
Brazil,2000,Hydro,7654.02,37439.17,4537148938.88,779946.58,284094.77,821307,0,0.41,47.44
Brazil,2000,Solar,26661.33,4488.65,9686216380.52,10968.35,145101.37,592586,0,0.07,22.3
Brazil,2001,Biomass,80428.64,44468.61,6583208941.25,689014.09,729728.92,994319,0,0.42,64.89
Brazil,2001,Geothermal,8222.95,40342.41,8640719635.35,183942.05,535058.7,973000,1,0.28,84.92
Brazil,2001,Hydro,17924.27,34843.92,6838006888.95,788275.52,149997.8,698208,1,0.49,58.49
Brazil,2001,Hydro,67157.94,29081.1,2679124828.82,602527.02,298718.72,138975,1,0.34,50.61
Brazil,2001,Hydro,17518.46,38451.65,6971347309.3,669180.22,74949.85,9545,0,0.31,99.57
Brazil,2001,Solar,13819.2,17762.33,3227848970.72,997532.26,420644.32,196095,1,0.42,23.62
Brazil,2001,Wind,56404.93,19590.36,6949496692.55,669759.05,538398.67,185446,0,0.06,35.0
Brazil,2001,Wind,8742.3,10511.08,8526303186.51,174441.32,991171.8,375405,1,0.14,23.21
Brazil,2002,Biomass,28232.46,23609.6,3265992211.26,153103.53,220744.14,31171,1,0.43,81.49
Brazil,2002,Biomass,96382.51,6974.95,6139686551.55,613226.47,342717.52,813169,0,0.17,27.07
Brazil,2002,Biomass,84337.0,2772.49,1605821364.18,995438.12,957456.42,726831,1,0.23,39.02
Brazil,2002,Biomass,57269.4,9007.12,7093886231.76,502751.58,296849.17,703684,0,0.48,13.5
Brazil,2002,Geothermal,46316.93,37230.79,9865520117.69,638601.87,346768.09,634347,0,0.35,43.61
Brazil,2002,Geothermal,21058.63,47801.38,9883954679.12,316761.93,595164.03,951580,0,0.36,12.73
Brazil,2002,Geothermal,55519.39,33381.46,9490944044.99,529544.05,759655.0,61778,1,0.43,20.61
